,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label,Age,Income_Category,Employment_Status
84,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,-11210.0,1,1,0,0,Accountants,2,1,30.0,Medium,1
85,5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15640.0,1,0,0,0,Core staff,2,1,42.0,Medium,1
86,5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14476.0,1,0,0,0,High skill tech staff,4,1,39.0,Medium,1
87,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253.0,1,1,0,0,Others,3,1,33.0,Medium,1
88,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253.0,1,1,0,0,Others,3,1,33.0,Medium,1
89,5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,1,0,0,0,Laborers,2,1,37.0,Medium,1
90,5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,1,0,0,0,Laborers,2,1,37.0,Medium,1
91,5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,1,0,0,0,Laborers,2,1,37.0,Medium,1
92,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-18661.0,1,0,0,0,Managers,2,1,51.0,Medium,1
93,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-20264.0,1,1,1,0,Accountants,2,1,55.0,Medium,1
94,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12755.0,1,0,0,0,Others,3,1,34.0,Medium,1
95,5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15452.0,1,0,0,0,Security staff,2,1,42.0,High,1
96,5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,1,0,0,0,Laborers,2,1,29.0,Medium,1
97,5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,1,0,0,0,Laborers,2,1,29.0,Medium,1
98,5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-17320.0,1,0,0,0,Laborers,4,1,47.0,Medium,1
99,5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22111.0,1,0,0,0,Others,2,1,60.0,Medium,0
100,5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15014.0,1,0,0,0,Core staff,3,1,41.0,Low,1
101,5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,1,0,0,0,Core staff,1,1,54.0,Medium,1
102,5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,1,0,0,0,Core staff,1,1,54.0,Medium,1
103,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803.0,1,1,1,0,Cleaning staff,1,1,46.0,Medium,1
104,5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-18971.0,1,0,0,0,Managers,2,1,51.0,Medium,1
105,5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16310.0,1,0,0,0,Laborers,1,1,44.0,Medium,1
106,5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22939.0,1,0,0,0,Others,1,1,62.0,Medium,0
108,5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19764.0,1,0,0,0,Medicine staff,2,1,54.0,Medium,1
109,5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-19406.0,1,0,0,0,Security staff,1,1,53.0,Medium,1
110,5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23271.0,1,0,1,0,Others,1,1,63.0,Low,0
111,5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23324.0,1,0,1,0,Others,2,1,63.0,Medium,0
112,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-11331.0,1,1,1,0,Others,3,1,31.0,Medium,1
113,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-11331.0,1,1,1,0,Others,3,1,31.0,Medium,1
114,5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,1,0,0,0,Core staff,2,1,39.0,Medium,1
115,5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,1,0,0,0,Core staff,2,1,39.0,Medium,1
116,5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,1,0,0,0,Core staff,2,1,39.0,Medium,1
117,5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,1,0,0,0,Core staff,2,1,39.0,Medium,1
118,5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14523.0,1,0,0,0,Core staff,2,1,39.0,Medium,1
119,5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,1,1,0,0,Managers,1,1,39.0,Medium,1
120,5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,1,1,0,0,Managers,1,1,39.0,Medium,1
121,5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17468.0,1,0,0,0,Core staff,6,1,47.0,Medium,1
122,5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22655.0,1,0,0,0,Others,2,1,62.0,Medium,0
123,5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22655.0,1,0,0,0,Others,2,1,62.0,Medium,0
124,5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22655.0,1,0,0,0,Others,2,1,62.0,Medium,0
126,5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15047.0,1,0,0,0,Core staff,2,1,41.0,Medium,1
127,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13022.0,1,1,1,0,Laborers,3,1,35.0,Medium,1
128,5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22279.0,1,0,1,0,Others,1,1,61.0,Low,0
129,5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23902.0,1,0,1,0,Others,1,1,65.0,Low,0
130,5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,1,0,0,0,Others,2,1,58.0,Medium,0
131,5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,1,0,0,0,Others,2,1,58.0,Medium,0
132,5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,1,0,0,0,Others,2,1,58.0,Medium,0
133,5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-21363.0,1,0,0,0,Others,2,1,58.0,Medium,0
134,5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,1,0,0,0,Others,2,1,58.0,Medium,0
135,5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-18132.0,1,0,1,0,Laborers,2,1,49.0,Low,1
136,5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-13939.0,1,0,0,0,Laborers,2,1,38.0,Medium,1
137,5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20846.0,1,0,0,0,Others,2,1,57.0,Medium,0
138,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,1,0,1,0,High skill tech staff,2,1,44.0,Medium,1
139,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,1,0,1,0,High skill tech staff,2,1,44.0,Medium,1
140,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-18020.0,1,0,0,0,Cooking staff,1,1,49.0,Medium,1
141,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13030.0,1,0,1,0,Laborers,3,1,35.0,Medium,1
142,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-9862.0,1,1,0,0,Sales staff,4,1,27.0,Medium,1
144,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,1,0,0,0,Security staff,2,1,55.0,Medium,1
145,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,1,0,0,0,Security staff,2,1,55.0,Medium,1
146,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,1,0,0,0,Security staff,2,1,55.0,Medium,1
147,5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,1,0,0,0,Core staff,1,1,29.0,Medium,1
148,5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,1,0,0,0,Core staff,1,1,29.0,Medium,1
149,5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-18836.0,1,1,1,0,Laborers,2,1,51.0,Medium,1
150,5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,1,0,0,0,Managers,2,1,28.0,High,1
151,5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,1,0,0,0,Managers,2,1,28.0,High,1
153,5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,1,1,1,0,Managers,4,1,48.0,Medium,1
154,5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,1,1,1,0,Managers,4,1,48.0,Medium,1
155,5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,1,1,1,0,Drivers,3,1,44.0,Medium,1
156,5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,1,1,1,0,Drivers,3,1,44.0,Medium,1
157,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,1,0,1,0,Core staff,1,1,51.0,Low,1
158,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,1,0,1,0,Core staff,1,1,51.0,Low,1
159,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,1,0,1,0,Core staff,1,1,51.0,Low,1
160,5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-12946.0,1,0,0,1,Laborers,3,1,35.0,Medium,1
161,5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,-21590.0,1,0,0,0,Others,2,1,59.0,Medium,0
162,5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22011.0,1,0,0,0,Others,2,1,60.0,Low,0
163,5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10177.0,1,0,0,1,Managers,1,1,27.0,Medium,1
164,5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-12723.0,1,1,1,0,Sales staff,3,1,34.0,Medium,1
165,5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20296.0,1,0,0,0,Security staff,2,1,55.0,Medium,1
166,5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-14394.0,1,0,1,0,Managers,1,1,39.0,Medium,1
167,5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,1,0,0,0,Security staff,2,1,47.0,Medium,1
168,5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,1,0,0,0,Security staff,2,1,47.0,Medium,1
169,5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,1,0,1,1,Core staff,3,1,26.0,Medium,1
170,5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,1,0,1,1,Core staff,3,1,26.0,Medium,1
172,5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17348.0,1,0,0,0,Managers,2,1,47.0,Medium,1
173,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-12387.0,1,0,1,1,Medicine staff,2,1,33.0,Medium,1
174,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,-12387.0,1,0,1,1,Medicine staff,2,1,33.0,Medium,1
175,5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,-15749.0,1,1,1,0,Cleaning staff,3,0,43.0,Low,1
176,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17762.0,1,0,0,0,Laborers,2,0,48.0,Medium,1
177,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12946.0,1,0,1,1,Sales staff,2,0,35.0,Medium,1
178,5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-20542.0,1,0,1,0,Core staff,2,0,56.0,Medium,1
179,5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16415.0,1,0,0,1,Private service staff,3,0,44.0,Medium,1
180,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14550.0,1,0,0,0,Sales staff,3,0,39.0,Low,1
181,5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,1,0,0,0,Laborers,2,0,47.0,Medium,1
182,5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-24238.0,1,0,0,0,Others,1,0,66.0,Medium,0
183,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11432.0,1,1,0,0,Core staff,2,0,31.0,Medium,1
184,5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22072.0,1,0,1,0,Others,2,0,60.0,Low,0
186,5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20661.0,1,0,0,0,Others,2,0,56.0,Medium,0
187,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,-10581.0,1,1,0,0,Others,3,0,28.0,Medium,1
189,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-21503.0,1,0,0,1,Core staff,2,0,58.0,Medium,1
190,5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14746.0,1,0,0,0,Others,1,0,40.0,Low,1
191,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14756.0,1,0,0,0,Others,1,0,40.0,Medium,1
192,5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10731.0,1,0,0,0,Sales staff,1,0,29.0,Low,1
193,5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21579.0,1,0,0,0,Others,2,0,59.0,Medium,0
194,5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-16491.0,1,0,0,0,Others,2,0,45.0,Medium,0
195,5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21875.0,1,0,0,0,Others,2,0,59.0,Medium,0
196,5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,-12555.0,1,0,0,0,Others,2,0,34.0,Medium,1
197,5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12154.0,1,0,0,0,Core staff,2,0,33.0,Low,1
